FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20027963-1066.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,35,307,3599.96,0
slurm_20027963-1067.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,42,208,3599.94,0
slurm_20027963-1068.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,31,192,3599.94,0
slurm_20027963-1069.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,91,360,3599.96,0
slurm_20027963-106.out:result,../../../instances/NEP_knapsack_instances/2-20-5-strongcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,327,637,501.196,0
slurm_20027963-1070.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,67,324,3599.96,0
slurm_20027963-1071.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,27,213,3599.94,0
slurm_20027963-1072.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,120,352,3599.96,0
slurm_20027963-1073.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,22,289,3599.95,0
slurm_20027963-1074.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,51,204,3599.94,0
slurm_20027963-1075.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,33,292,3599.95,0
slurm_20027963-1076.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,95,272,3599.95,0
slurm_20027963-1077.out:result,../../../instances/NEP_knapsack_instances/4-30-8-weakcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,39,284,3599.95,0
