FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20025748-1055.out:result,../../../instances/NEP_knapsack_instances/4-30-5-strongcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,21840,31,3599.91,0
slurm_20025748-1056.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,22118,56,3599.91,0
slurm_20025748-1057.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,11155,56,3599.91,0
slurm_20025748-1058.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,20380,37,3599.91,0
slurm_20025748-1059.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,31839,67,3599.91,0
slurm_20025748-105.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1541,15,21.2963,0
slurm_20025748-1060.out:result,../../../instances/NEP_knapsack_instances/4-30-5-uncorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,16056,58,3599.91,0
slurm_20025748-1061.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,10240,121,3599.92,0
slurm_20025748-1062.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,10201,75,3599.91,0
slurm_20025748-1063.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,10201,48,3599.91,0
slurm_20025748-1064.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,19604,71,3599.91,0
slurm_20025748-1065.out:result,../../../instances/NEP_knapsack_instances/4-30-5-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,28017,44,3599.91,0
slurm_20025748-1066.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,6479,124,3599.92,0
slurm_20025748-1067.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,8397,96,3599.92,0
slurm_20025748-1068.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,13009,68,3599.92,0
slurm_20025748-1069.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,4643,135,3599.93,0
slurm_20025748-106.out:result,../../../instances/NEP_knapsack_instances/2-20-5-strongcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,16249,243,931.361,0
slurm_20025748-1070.out:result,../../../instances/NEP_knapsack_instances/4-30-8-strongcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,7025,119,3599.93,0
slurm_20025748-1071.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,5752,103,3599.92,0
slurm_20025748-1072.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,11030,102,3599.92,0
slurm_20025748-1073.out:result,../../../instances/NEP_knapsack_instances/4-30-8-uncorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,6203,78,3599.92,0
